Local time,Open,High,Low,Close
2023-01-01 08:00:00,334738.21,335816.79,332191.85,332191.85
2023-01-01 08:15:00,332264.78,333663.16,331578.51,332642.99
2023-01-01 08:30:00,332611.36,333198.44,332033.84,332809.96
2023-01-01 08:45:00,332826.05,334298.35,332517.71,334268.43
2023-01-01 09:00:00,334268.98,336093.64,334268.98,335981.22
2023-01-01 09:15:00,335964.88,336880.77,335644.17,336399.68
2023-01-01 09:30:00,336465.92,337368.9,335948.89,337050.32
2023-01-01 09:45:00,337099.55,338863.84,337014.34,338081.18
2023-01-01 10:00:00,338075.69,338511.7,336572.38,338156.89
2023-01-01 10:15:00,338105.79,338543.18,336206.43,337422.57
2023-01-01 10:30:00,337375.32,339257.32,337148.03,339257.32
2023-01-01 10:45:00,339202.85,341862.12,339182.93,341216.03
2023-01-01 11:00:00,341251.22,342783.5,340420.75,342164.83
2023-01-01 11:15:00,342082.69,342914.29,340661.9,342419.86
2023-01-01 11:30:00,342450.59,343002.07,341663.43,342932.93
2023-01-01 11:45:00,342892.05,342892.05,339824.24,339999.51
2023-01-01 12:00:00,340046.78,340059.32,337350.44,337747.55
2023-01-01 12:15:00,337711.61,337804.65,336508.47,336809.28
2023-01-01 12:30:00,336853.14,337863.35,336326.29,337318.7
2023-01-01 12:45:00,337256.26,337256.26,335410.1,335609.29
2023-01-01 13:00:00,335547.68,337496.33,335328.21,337368.3
2023-01-01 13:15:00,337423.01,337732.33,336466.38,337105.54
2023-01-01 13:30:00,337065.87,337690.29,335763.31,336649.77
2023-01-01 13:45:00,336675.83,338492.08,335849.21,337538.74
2023-01-01 14:00:00,337628.83,339520.69,337461.17,338988.23
2023-01-01 14:15:00,338836.97,339391.82,337269.24,339105.67
2023-01-01 14:30:00,339035.64,339103.68,337087.84,338186.99
2023-01-01 14:45:00,338247.4,339145.13,337325.28,338900.28
2023-01-01 15:00:00,338960.28,340297.34,338960.28,339074.92
2023-01-01 15:15:00,339105.05,340331.93,338376.8,338589.57
2023-01-01 15:30:00,338616.57,341280.05,338480.55,340831.81
2023-01-01 15:45:00,340797.1,342488.56,340563.7,340704.6
2023-01-01 16:00:00,340741.3,342446.25,340565.5,341093.75
2023-01-01 16:15:00,341125.07,343039.39,340925.63,342993.22
2023-01-01 16:30:00,342986.39,343736.94,341401.92,341401.92
2023-01-01 16:45:00,341448.31,341551.28,339807.83,340426.03
2023-01-01 17:00:00,340357.68,341442.02,339385.85,340362.38
2023-01-01 17:15:00,340334.43,341028.8,337602.3,338021.14
2023-01-01 17:30:00,338009.84,338608.79,336922.06,337458.65
