Local time,Open,High,Low,Close
2019-01-01 08:00:00,110475.83,111878.97,109328.34,111646.81
2019-01-01 12:00:00,111652.78,113364.87,110975.06,112438.71
2019-01-01 16:00:00,112447.91,114563.17,111788.95,112465.27
2019-01-01 20:00:00,112476.22,114423.12,111595.38,113802.89
2019-01-02 00:00:00,113807.85,117023.63,113592.83,115383.91
2019-01-02 04:00:00,115396.78,116083.48,113469.99,115212.54
2019-01-02 08:00:00,115209.45,115395.36,112439.91,112930.18
2019-01-02 12:00:00,112933.65,113982.95,111933.13,112130.36
2019-01-02 16:00:00,112125.79,112829.94,109290.15,109645.22
2019-01-02 20:00:00,109613.87,110333.0,108166.0,109733.69
2019-01-03 00:00:00,109746.3,110828.81,106627.29,107252.83
2019-01-03 04:00:00,107244.06,109512.58,106805.29,107229.07
2019-01-03 08:00:00,107255.9,108308.6,105423.79,107110.93
2019-01-03 12:00:00,107130.49,107873.69,106112.25,107220.96
2019-01-03 16:00:00,107202.92,110030.26,107038.51,109777.0
2019-01-03 20:00:00,109793.26,112733.7,109772.29,111647.52
2019-01-04 00:00:00,111629.89,112538.16,109793.73,110803.62
2019-01-04 04:00:00,110785.97,112093.19,109230.43,111927.31
2019-01-04 08:00:00,111922.04,112620.32,111058.03,111520.93
2019-01-04 12:00:00,111513.1,112913.71,111221.53,111781.3
2019-01-04 16:00:00,111811.27,114912.21,111385.0,114661.28
2019-01-04 20:00:00,114704.61,116846.14,114199.16,116716.73
2019-01-05 00:00:00,116707.64,117170.4,113599.34,114664.02
2019-01-05 04:00:00,114691.17,115329.25,112804.76,113246.29
2019-01-05 08:00:00,113244.23,113946.19,111313.53,112606.27
2019-01-05 12:00:00,112658.94,114548.3,111771.08,112508.18
2019-01-05 16:00:00,112506.92,114101.14,112051.04,112631.87
2019-01-05 20:00:00,112642.48,114698.28,112146.17,114503.44
2019-01-06 00:00:00,114524.41,116213.23,113987.71,115412.02
2019-01-06 04:00:00,115430.64,115588.27,112354.85,113045.5
2019-01-06 08:00:00,113048.52,114216.83,112244.09,113537.33
2019-01-06 12:00:00,113580.1,114006.13,112718.58,113312.36
2019-01-06 16:00:00,113351.01,115166.78,112363.5,115043.43
2019-01-06 20:00:00,115040.01,117009.24,114844.54,116421.15
2019-01-07 00:00:00,116414.4,117138.9,114056.51,114597.61
2019-01-07 04:00:00,114583.88,116756.83,114302.31,115372.5
2019-01-07 08:00:00,115369.67,116268.66,113827.2,115907.86
2019-01-07 12:00:00,115916.72,117440.0,114569.29,115578.16
2019-01-07 16:00:00,115620.59,115780.75,113321.12,114382.03
2019-01-07 20:00:00,114355.01,116163.62,113765.44,113765.44
2019-01-08 00:00:00,113742.21,115148.84,112769.0,113376.65
2019-01-08 04:00:00,113407.91,114405.61,111725.46,114290.66
2019-01-08 08:00:00,114286.95,114888.88,111235.43,111343.39
2019-01-08 12:00:00,111349.38,112861.25,110511.31,111822.35
2019-01-08 16:00:00,111826.54,112391.18,110343.65,110947.4
2019-01-08 20:00:00,110977.16,111394.88,109666.11,110299.0
2019-01-09 00:00:00,110284.1,110841.16,108820.66,110627.12
2019-01-09 04:00:00,110644.8,110669.37,108236.72,108904.89
2019-01-09 08:00:00,108891.72,110486.6,107110.17,110289.29
2019-01-09 12:00:00,110310.99,113044.54,110277.95,111852.99
2019-01-09 16:00:00,111862.04,115133.7,111358.97,114967.85
2019-01-09 20:00:00,114981.45,115721.18,112359.27,114098.54
2019-01-10 00:00:00,114097.37,116957.26,113296.62,116409.73
2019-01-10 04:00:00,116419.36,117970.53,115441.57,115510.07
2019-01-10 08:00:00,115501.49,119939.04,115462.36,119050.5
2019-01-10 12:00:00,119081.39,120367.65,117067.29,117519.44
2019-01-10 16:00:00,117528.17,119417.6,116948.13,118354.48
2019-01-10 20:00:00,118376.37,118921.21,116370.12,116648.39
2019-01-11 00:00:00,116666.19,117585.28,114747.3,115046.23
2019-01-11 04:00:00,115063.39,115988.24,113482.93,114169.72
2019-01-11 08:00:00,114177.41,116312.19,113771.07,115700.69
2019-01-11 12:00:00,115735.05,116761.01,114586.09,116665.0
2019-01-11 16:00:00,116650.01,119680.78,115704.52,119179.41
2019-01-11 20:00:00,119200.46,123930.96,119060.02,123060.14
2019-01-12 00:00:00,123061.34,125260.67,122551.48,122646.16
2019-01-12 04:00:00,122657.0,123931.18,121507.63,122172.98
2019-01-12 08:00:00,122132.97,124248.48,121841.09,123890.77
2019-01-12 12:00:00,123909.32,125981.83,122831.32,124657.79
2019-01-12 16:00:00,124697.49,128644.9,124509.58,126921.26
2019-01-12 20:00:00,126929.53,130192.8,126833.67,128213.66
2019-01-13 00:00:00,128217.65,128217.83,123310.96,124056.18
2019-01-13 04:00:00,124018.67,126592.08,122624.16,124050.38
2019-01-13 08:00:00,124048.27,124173.43,122169.2,123042.99
2019-01-13 12:00:00,123039.82,125387.2,122649.52,123130.66
2019-01-13 16:00:00,123115.28,125732.78,122617.57,125163.42
2019-01-13 20:00:00,125177.71,127469.49,124320.13,125976.85
2019-01-14 00:00:00,125992.04,126985.2,124043.38,126420.29
2019-01-14 04:00:00,126435.42,126654.15,123591.85,125440.12
2019-01-14 08:00:00,125441.84,126190.99,124040.0,124764.91
2019-01-14 12:00:00,124736.5,129175.81,124060.55,129077.1
2019-01-14 16:00:00,129066.29,130005.4,127193.83,127708.19
2019-01-14 20:00:00,127705.31,127975.5,123980.5,124223.01
2019-01-15 00:00:00,124226.83,125804.14,122786.93,123009.98
2019-01-15 04:00:00,122974.84,123977.51,120448.08,121402.25
2019-01-15 08:00:00,121417.72,122570.7,119828.67,120036.25
2019-01-15 12:00:00,120057.92,122330.21,119121.23,120212.73
2019-01-15 16:00:00,120210.06,122204.36,119020.24,119131.26
2019-01-15 20:00:00,119110.94,121517.9,119046.74,120293.9
2019-01-16 00:00:00,120282.11,122291.76,118129.33,118712.09
2019-01-16 04:00:00,118689.7,119724.89,116629.63,118586.63
2019-01-16 08:00:00,118595.14,118813.35,116196.68,117170.19
2019-01-16 12:00:00,117170.5,117197.95,114135.77,114237.9
2019-01-16 16:00:00,114198.71,114241.88,112366.48,113600.26
2019-01-16 20:00:00,113589.58,114062.5,110940.97,110940.97
2019-01-17 00:00:00,110954.99,114101.17,110304.81,112953.66
2019-01-17 04:00:00,112950.52,114085.27,112350.69,112967.21
2019-01-17 08:00:00,112956.22,114262.07,111414.97,111429.28
2019-01-17 12:00:00,111448.43,113132.82,110425.77,112331.31
2019-01-17 16:00:00,112324.4,114817.5,111084.72,111596.47
2019-01-17 20:00:00,111601.5,112433.54,110194.54,111579.19
